Age,Attrition,BusinessTravel,DistanceFromHome,Education,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance
Senior,Yes,Frequently,Medium,Bachelor,Technician,High,Divorced,Lower,Yes,Excellent,Competent,Better
Senior,No,Frequently,Medium,Bachelor,Rappresentative,Very_high,Married,Higher,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,College,Rappresentative,High,Single,On_average,No,Excellent,Competent,Better
Young,No,Rarely,Short,Below_college,Technician,Low,Married,Lower,No,Excellent,Beginner,Best
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Medium,Married,On_average,No,Excellent,Competent,Bad
Senior,No,Rarely,Short,Bachelor,Manager,Very_high,Married,Higher,No,Excellent,Expert,Good
Senior,No,Rarely,Short,Below_college,Technician,Very_high,Single,Lower,Yes,Outstanding,Beginner,Good
Young,No,Rarely,Short,Bachelor,Rappresentative,Low,Single,Higher,No,Excellent,Competent,Bad
Young,No,Rarely,Medium,Bachelor,Technician,Medium,Divorced,Lower,No,Excellent,Novice,Better
Senior,No,Rarely,Short,Bachelor,Rappresentative,Very_high,Single,Lower,No,Excellent,Proficient,Better
Middle-age,No,Non-Travel,Short,Master,Rappresentative,Low,Divorced,On_average,No,Excellent,Proficient,Best
Middle-age,No,Frequently,Long,Master,Rappresentative,Very_high,Married,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Doctor,Technician,High,Married,Lower,Yes,Excellent,Beginner,Bad
Middle-age,No,Rarely,Short,Doctor,Rappresentative,Low,Divorced,On_average,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Master,Manager,Low,Married,Higher,No,Excellent,Expert,Best
Middle-age,Yes,Rarely,Short,Master,Technician,Very_high,Single,Lower,Yes,Excellent,Competent,Good
Young,No,Rarely,Long,Below_college,Rappresentative,Very_high,Single,On_average,No,Outstanding,Beginner,Good
Senior,No,Rarely,Short,College,Rappresentative,High,Single,Higher,No,Excellent,Competent,Better
Young,No,Rarely,Medium,Below_college,Technician,High,Single,Lower,No,Excellent,Novice,Better
Senior,Yes,Frequently,Long,College,Rappresentative,High,Single,On_average,Yes,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Very_high,Single,On_average,No,Outstanding,Beginner,Better
Senior,Yes,Rarely,Short,Bachelor,Manager,Low,Married,Higher,Yes,Excellent,Expert,Better
Middle-age,No,Non-Travel,Short,Master,Director,Low,Single,Higher,No,Excellent,Competent,Better
Senior,No,Non-Travel,Medium,Master,Technician,Very_high,Married,On_average,No,Excellent,Beginner,Better
Young,No,Frequently,Short,College,Technician,Very_high,Divorced,On_average,No,Excellent,Beginner,Better
Young,No,Rarely,Long,Bachelor,Rappresentative,High,Married,On_average,No,Excellent,Competent,Good
Young,Yes,Rarely,Short,Bachelor,Rappresentative,Low,Single,On_average,No,Excellent,Beginner,Good
Middle-age,No,Rarely,Short,Master,Technician,Very_high,Single,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Medium,Master,Rappresentative,Low,Divorced,On_average,Yes,Excellent,Competent,Better
Young,No,Frequently,Short,Below_college,Rappresentative,Very_high,Married,On_average,No,Excellent,Beginner,Better
Middle-age,No,Rarely,Medium,Below_college,Technician,Low,Divorced,Lower,Yes,Excellent,Beginner,Good
Middle-age,No,Frequently,Short,Master,Rappresentative,Low,Single,On_average,Yes,Excellent,Proficient,Better
Middle-age,No,Rarely,Short,Master,Technician,Low,Single,On_average,No,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Master,Technician,Very_high,Married,Lower,No,Excellent,Beginner,Good
Middle-age,No,Rarely,Short,Bachelor,Technician,High,Married,On_average,No,Outstanding,Competent,Better
Senior,No,Frequently,Short,College,Rappresentative,Medium,Married,On_average,No,Outstanding,Competent,Better
Middle-age,No,Rarely,Short,College,Rappresentative,Low,Married,On_average,No,Excellent,Beginner,Better
Senior,No,Frequently,Short,Bachelor,Manager,Very_high,Divorced,Higher,No,Excellent,Expert,Good
Young,Yes,Rarely,Short,Bachelor,Technician,Low,Married,Lower,Yes,Outstanding,Novice,Better
Young,No,Non-Travel,Short,Bachelor,Technician,Medium,Divorced,Lower,No,Excellent,Novice,Better
Senior,No,Rarely,Medium,Master,Rappresentative,High,Married,Lower,No,Outstanding,Competent,Better
Senior,No,Rarely,Short,Bachelor,Manager,High,Married,Higher,No,Excellent,Expert,Better
Young,Yes,Rarely,Short,College,Technician,Low,Married,Lower,Yes,Excellent,Novice,Better
Middle-age,No,Rarely,Short,Bachelor,Director,High,Married,Higher,No,Excellent,Competent,Best
Middle-age,Yes,Rarely,Medium,Bachelor,Rappresentative,Low,Single,On_average,No,Excellent,Beginner,Better
Senior,No,Rarely,Short,College,Manager,Very_high,Married,Higher,Yes,Excellent,Expert,Good
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Medium,Married,On_average,No,Excellent,Competent,Better
Young,No,Rarely,Long,College,Technician,High,Married,Lower,No,Outstanding,Competent,Better
Senior,Yes,Rarely,Short,Master,Manager,Medium,Single,Higher,Yes,Excellent,Expert,Better
Middle-age,No,Rarely,Short,Master,Technician,High,Single,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Short,College,Rappresentative,Very_high,Married,On_average,Yes,Excellent,Competent,Better
Young,Yes,Rarely,Short,Master,Technician,High,Single,On_average,No,Excellent,Beginner,Good
Middle-age,No,Rarely,Medium,Bachelor,Technician,Medium,Married,Lower,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,High,Married,On_average,No,Excellent,Competent,Better
Senior,No,Frequently,Medium,Master,Rappresentative,High,Single,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Very_high,Single,Higher,Yes,Outstanding,Competent,Good
Senior,No,Rarely,Short,Bachelor,Technician,High,Single,Lower,No,Excellent,Novice,Better
Senior,No,Rarely,Long,Bachelor,Rappresentative,Medium,Married,On_average,No,Excellent,Competent,Good
Middle-age,No,Frequently,Medium,Bachelor,Rappresentative,Low,Divorced,On_average,No,Excellent,Competent,Good
Middle-age,No,Frequently,Medium,Master,Technician,Very_high,Single,Lower,No,Excellent,Beginner,Better
Senior,Yes,Rarely,Medium,Bachelor,Director,Very_high,Married,Higher,No,Excellent,Competent,Best
Senior,Yes,Rarely,Short,Below_college,Rappresentative,Very_high,Single,On_average,No,Excellent,Competent,Good
Senior,No,Rarely,Medium,College,Manager,Low,Married,Higher,No,Outstanding,Expert,Better
Young,No,Rarely,Short,Below_college,Director,Very_high,Divorced,Higher,Yes,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Director,High,Single,Higher,No,Outstanding,Proficient,Best
Young,No,Rarely,Short,Master,Rappresentative,Medium,Married,On_average,Yes,Outstanding,Competent,Better
Middle-age,No,Rarely,Short,College,Technician,Very_high,Married,On_average,No,Excellent,Beginner,Bad
Young,Yes,Frequently,Short,College,Technician,High,Married,Lower,Yes,Excellent,Competent,Better
Young,No,Non-Travel,Short,Bachelor,Technician,Very_high,Married,Lower,No,Excellent,Novice,Good
Senior,No,Rarely,Long,Master,Manager,High,Married,Higher,No,Excellent,Expert,Good
Senior,No,Rarely,Short,Bachelor,Rappresentative,Medium,Single,On_average,No,Excellent,Competent,Good
Young,No,Rarely,Short,Below_college,Technician,Low,Single,Lower,No,Excellent,Beginner,Good
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Low,Divorced,On_average,No,Outstanding,Competent,Better
Middle-age,No,Rarely,Long,Below_college,Technician,Low,Single,Lower,No,Excellent,Beginner,Good
Middle-age,No,Rarely,Short,College,Rappresentative,Very_high,Married,On_average,Yes,Excellent,Proficient,Good
Middle-age,No,Rarely,Medium,Master,Rappresentative,Very_high,Divorced,On_average,No,Excellent,Competent,Good
Middle-age,No,Frequently,Short,Master,Technician,Very_high,Divorced,On_average,No,Excellent,Competent,Good
Senior,No,Rarely,Short,College,Director,Very_high,Married,Higher,Yes,Excellent,Expert,Better
Senior,No,Rarely,Short,Bachelor,Director,Low,Divorced,Higher,Yes,Excellent,Proficient,Better
Middle-age,No,Rarely,Short,College,Rappresentative,High,Married,On_average,No,Excellent,Competent,Good
Senior,No,Frequently,Long,Master,Manager,Very_high,Married,Higher,No,Outstanding,Expert,Better
Middle-age,No,Rarely,Medium,Master,Rappresentative,High,Divorced,On_average,No,Excellent,Competent,Better
Young,No,Rarely,Short,College,Technician,Very_high,Divorced,On_average,No,Excellent,Beginner,Better
Young,No,Rarely,Short,College,Rappresentative,Very_high,Married,On_average,No,Outstanding,Beginner,Bad
Senior,No,Rarely,Short,Master,Technician,Very_high,Married,Lower,Yes,Outstanding,Competent,Good
Senior,No,Frequently,Short,Below_college,Technician,Very_high,Single,Lower,Yes,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Technician,Low,Married,Lower,No,Outstanding,Beginner,Better
Young,No,Rarely,Short,Below_college,Rappresentative,Low,Married,On_average,Yes,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Bachelor,Director,High,Married,Higher,Yes,Outstanding,Proficient,Better
Middle-age,Yes,Frequently,Long,Master,Technician,Medium,Divorced,Lower,Yes,Excellent,Competent,Good
Middle-age,No,Non-Travel,Short,Bachelor,Technician,Very_high,Divorced,Lower,No,Excellent,Beginner,Better
Young,No,Rarely,Short,Below_college,Rappresentative,Low,Married,On_average,No,Excellent,Beginner,Best
Senior,No,Rarely,Short,Bachelor,Technician,Low,Married,Lower,No,Excellent,Competent,Better
Young,No,Non-Travel,Short,Below_college,Technician,Very_high,Married,Lower,No,Excellent,Beginner,Good
Middle-age,No,Frequently,Short,College,Rappresentative,Medium,Married,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Technician,Medium,Married,Lower,No,Excellent,Beginner,Better
Senior,No,Rarely,Short,Bachelor,Rappresentative,Very_high,Married,On_average,Yes,Excellent,Proficient,Good
Middle-age,No,Rarely,Medium,Master,Technician,Very_high,Married,Lower,Yes,Excellent,Competent,Better
Young,Yes,Rarely,Short,Bachelor,Technician,High,Divorced,Lower,Yes,Excellent,Beginner,Better
Senior,No,Rarely,Short,Bachelor,Manager,Very_high,Married,Higher,No,Excellent,Expert,Better
Middle-age,No,Rarely,Long,Bachelor,Director,Medium,Married,Higher,No,Excellent,Proficient,Better
Middle-age,No,Frequently,Long,College,Technician,Very_high,Married,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Long,Master,Manager,Very_high,Single,Higher,No,Excellent,Expert,Better
Senior,No,Frequently,Short,Bachelor,Rappresentative,Very_high,Married,On_average,No,Excellent,Competent,Good
Senior,No,Rarely,Short,College,Rappresentative,Very_high,Married,On_average,Yes,Outstanding,Competent,Better
Middle-age,No,Non-Travel,Medium,College,Director,Medium,Single,Higher,Yes,Excellent,Competent,Better
Senior,No,Non-Travel,Short,Master,Manager,Low,Divorced,Higher,No,Excellent,Expert,Better
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Very_high,Married,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,College,Technician,Medium,Divorced,Lower,Yes,Excellent,Competent,Best
Middle-age,Yes,Rarely,Long,Master,Technician,Very_high,Single,Lower,Yes,Outstanding,Novice,Bad
Young,No,Rarely,Short,Below_college,Technician,Very_high,Divorced,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Short,College,Technician,Low,Married,Lower,Yes,Excellent,Competent,Better
Young,No,Rarely,Short,Master,Rappresentative,Very_high,Single,On_average,No,Excellent,Beginner,Better
Senior,Yes,Frequently,Short,Below_college,Technician,Very_high,Divorced,Lower,Yes,Excellent,Beginner,Good
Senior,No,Rarely,Short,Bachelor,Rappresentative,Medium,Divorced,On_average,No,Outstanding,Beginner,Best
Young,Yes,Rarely,Short,Bachelor,Technician,High,Single,Lower,No,Excellent,Novice,Good
Young,Yes,Rarely,Medium,Below_college,Technician,Very_high,Single,Lower,No,Excellent,Novice,Good
Middle-age,No,Rarely,Medium,Below_college,Rappresentative,Very_high,Married,Higher,Yes,Excellent,Proficient,Good
Senior,No,Rarely,Short,Master,Technician,Very_high,Single,Lower,Yes,Excellent,Beginner,Good
Young,Yes,Rarely,Short,Below_college,Rappresentative,High,Married,On_average,Yes,Excellent,Beginner,Best
Senior,Yes,Rarely,Short,Master,Technician,Very_high,Divorced,Lower,Yes,Excellent,Competent,Good
Young,No,Rarely,Short,Bachelor,Technician,High,Divorced,Lower,No,Excellent,Beginner,Better
Middle-age,Yes,Rarely,Short,Bachelor,Technician,Low,Married,Lower,Yes,Outstanding,Competent,Bad
Young,No,Rarely,Short,Bachelor,Technician,High,Single,Lower,No,Excellent,Novice,Better
Middle-age,No,Rarely,Medium,Bachelor,Technician,Medium,Divorced,Lower,No,Excellent,Novice,Better
Senior,No,Rarely,Medium,College,Rappresentative,High,Single,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Master,Technician,Low,Single,Lower,Yes,Excellent,Beginner,Better
Senior,No,Rarely,Short,Bachelor,Director,Medium,Divorced,Higher,Yes,Excellent,Expert,Better
Middle-age,No,Rarely,Short,Master,Technician,High,Married,Lower,No,Excellent,Competent,Best
Middle-age,No,Rarely,Long,Below_college,Rappresentative,Very_high,Married,On_average,Yes,Outstanding,Competent,Bad
Senior,No,Rarely,Short,College,Director,Medium,Married,Higher,No,Excellent,Expert,Good
Senior,No,Rarely,Long,Master,Technician,High,Married,Lower,No,Excellent,Competent,Good
Middle-age,No,Non-Travel,Long,College,Rappresentative,High,Married,Higher,No,Excellent,Competent,Good
Middle-age,No,Rarely,Short,Master,Technician,Very_high,Single,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Bachelor,Director,Low,Married,Higher,No,Excellent,Proficient,Better
Middle-age,No,Non-Travel,Short,Bachelor,Technician,Medium,Married,Lower,No,Outstanding,Beginner,Better
Young,Yes,Rarely,Medium,College,Technician,Medium,Married,Lower,Yes,Excellent,Novice,Better
Senior,No,Rarely,Medium,Master,Director,Medium,Divorced,Higher,No,Excellent,Competent,Good
Young,No,Frequently,Short,Bachelor,Rappresentative,Low,Single,On_average,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Bachelor,Technician,Low,Single,On_average,Yes,Excellent,Expert,Better
Middle-age,No,Rarely,Short,Master,Technician,High,Single,Lower,No,Outstanding,Proficient,Better
Young,Yes,Rarely,Long,Bachelor,Technician,Medium,Single,Lower,Yes,Excellent,Novice,Best
Young,Yes,Rarely,Short,Bachelor,Technician,Low,Single,Lower,No,Excellent,Novice,Better
Middle-age,No,Rarely,Medium,Bachelor,Rappresentative,Very_high,Married,On_average,Yes,Excellent,Competent,Bad
Senior,No,Frequently,Short,Master,Technician,Medium,Divorced,Lower,Yes,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,Low,Married,Higher,No,Excellent,Competent,Best
Middle-age,Yes,Rarely,Short,Below_college,Director,Very_high,Married,Higher,Yes,Excellent,Proficient,Better
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Very_high,Single,Higher,No,Excellent,Beginner,Better
Middle-age,Yes,Rarely,Short,Master,Director,High,Married,Higher,No,Excellent,Proficient,Bad
Senior,No,Non-Travel,Short,College,Rappresentative,Medium,Married,On_average,No,Excellent,Competent,Good
Young,No,Frequently,Long,Bachelor,Technician,Very_high,Married,Lower,No,Excellent,Beginner,Better
Middle-age,No,Rarely,Medium,Bachelor,Rappresentative,High,Married,On_average,No,Excellent,Beginner,Better
Senior,No,Rarely,Short,College,Manager,Very_high,Married,Higher,No,Excellent,Expert,Good
Senior,Yes,Rarely,Short,Bachelor,Technician,High,Single,Lower,No,Outstanding,Competent,Better
Senior,No,Rarely,Short,College,Manager,High,Divorced,Higher,No,Excellent,Expert,Best
Middle-age,No,Rarely,Short,College,Director,High,Divorced,Higher,No,Excellent,Competent,Best
Middle-age,No,Non-Travel,Medium,Bachelor,Rappresentative,Very_high,Single,On_average,Yes,Excellent,Beginner,Better
Middle-age,No,Rarely,Short,Master,Director,Very_high,Divorced,Higher,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Doctor,Director,High,Single,Higher,No,Excellent,Competent,Better
Senior,Yes,Non-Travel,Long,Bachelor,Manager,Medium,Single,Higher,Yes,Excellent,Expert,Good
Senior,No,Frequently,Medium,Master,Rappresentative,High,Divorced,On_average,Yes,Excellent,Expert,Best
Middle-age,No,Non-Travel,Short,Master,Rappresentative,Very_high,Divorced,On_average,No,Excellent,Competent,Better
Middle-age,Yes,Non-Travel,Short,College,Technician,Low,Single,Lower,Yes,Outstanding,Beginner,Better
Middle-age,No,Non-Travel,Medium,Bachelor,Manager,High,Single,Higher,No,Excellent,Competent,Better
Young,Yes,Rarely,Medium,Bachelor,Technician,Low,Single,Lower,Yes,Outstanding,Beginner,Better
Middle-age,No,Rarely,Medium,Below_college,Technician,Very_high,Single,Lower,No,Excellent,Beginner,Better
Senior,No,Rarely,Short,Master,Technician,Very_high,Divorced,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Short,College,Manager,Very_high,Divorced,Higher,No,Outstanding,Expert,Good
Middle-age,No,Frequently,Short,Master,Rappresentative,Medium,Married,On_average,Yes,Excellent,Beginner,Better
Senior,No,Frequently,Short,Bachelor,Manager,High,Divorced,Higher,No,Excellent,Expert,Best
Young,No,Rarely,Medium,Master,Technician,Medium,Married,Lower,No,Excellent,Beginner,Better
Senior,No,Non-Travel,Long,College,Rappresentative,Low,Married,On_average,Yes,Excellent,Competent,Better
Senior,No,Rarely,Short,College,Rappresentative,Very_high,Single,On_average,Yes,Excellent,Competent,Better
Middle-age,Yes,Rarely,Long,Bachelor,Technician,High,Married,Lower,Yes,Excellent,Competent,Better
Senior,No,Rarely,Long,Bachelor,Manager,High,Married,Higher,Yes,Excellent,Expert,Better
Middle-age,No,Frequently,Medium,Below_college,Technician,High,Married,Lower,No,Excellent,Beginner,Good
Senior,No,Rarely,Short,College,Director,High,Divorced,Higher,No,Excellent,Competent,Better
Young,No,Rarely,Medium,Below_college,Rappresentative,High,Divorced,On_average,No,Excellent,Beginner,Better
Middle-age,Yes,Rarely,Medium,Master,Technician,Medium,Divorced,On_average,Yes,Outstanding,Beginner,Bad
Middle-age,No,Frequently,Short,Below_college,Rappresentative,Low,Married,On_average,No,Excellent,Beginner,Better
Young,No,Non-Travel,Short,College,Technician,Very_high,Single,Lower,No,Excellent,Novice,Better
Senior,No,Rarely,Medium,Bachelor,Director,High,Married,Higher,No,Excellent,Expert,Better
Middle-age,No,Rarely,Long,Master,Director,High,Divorced,Higher,Yes,Excellent,Proficient,Good
Middle-age,No,Rarely,Short,College,Director,Low,Married,Higher,Yes,Excellent,Competent,Good
Young,Yes,Rarely,Medium,Bachelor,Technician,Low,Single,Lower,Yes,Excellent,Novice,Better
Middle-age,Yes,Frequently,Short,Bachelor,Technician,Medium,Single,Lower,No,Excellent,Beginner,Better
Young,No,Rarely,Short,College,Rappresentative,Very_high,Married,On_average,No,Excellent,Competent,Better
Young,No,Rarely,Short,Below_college,Technician,Low,Married,Lower,No,Excellent,Beginner,Good
Senior,No,Rarely,Short,Bachelor,Rappresentative,High,Single,On_average,No,Excellent,Proficient,Better
Senior,No,Rarely,Short,Master,Director,High,Single,Higher,No,Excellent,Expert,Better
Senior,No,Rarely,Short,College,Rappresentative,High,Single,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Below_college,Manager,Very_high,Married,Higher,No,Excellent,Expert,Better
Young,No,Rarely,Short,Master,Rappresentative,Very_high,Married,On_average,No,Excellent,Beginner,Better
Middle-age,No,Rarely,Medium,Bachelor,Technician,Very_high,Divorced,On_average,No,Outstanding,Beginner,Good
Senior,No,Rarely,Short,College,Manager,High,Married,Higher,No,Excellent,Expert,Best
Senior,No,Rarely,Short,Bachelor,Technician,Very_high,Married,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Bachelor,Manager,Very_high,Single,Higher,Yes,Excellent,Expert,Better
Middle-age,Yes,Rarely,Medium,College,Rappresentative,Medium,Married,On_average,No,Excellent,Proficient,Bad
Senior,No,Frequently,Medium,Master,Rappresentative,Medium,Married,On_average,Yes,Excellent,Proficient,Better
Senior,No,Non-Travel,Short,Below_college,Manager,High,Divorced,Higher,No,Outstanding,Expert,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,Very_high,Single,Higher,Yes,Excellent,Proficient,Better
Young,Yes,Non-Travel,Long,College,Rappresentative,Low,Single,On_average,No,Excellent,Competent,Better
Senior,Yes,Rarely,Short,Below_college,Manager,Very_high,Married,Higher,No,Excellent,Expert,Better
Senior,No,Rarely,Long,Bachelor,Manager,Very_high,Married,Higher,Yes,Excellent,Expert,Better
Senior,No,Non-Travel,Short,Bachelor,Rappresentative,High,Married,On_average,No,Excellent,Proficient,Better
Middle-age,Yes,Rarely,Medium,Master,Technician,Low,Single,Lower,No,Excellent,Proficient,Better
Middle-age,No,Frequently,Long,Bachelor,Director,Low,Single,Higher,Yes,Excellent,Expert,Better
Middle-age,No,Non-Travel,Short,Below_college,Technician,Very_high,Single,Lower,No,Excellent,Beginner,Good
Senior,No,Rarely,Medium,College,Manager,Very_high,Married,Higher,No,Excellent,Expert,Best
Middle-age,No,Non-Travel,Long,Master,Technician,High,Single,On_average,No,Excellent,Competent,Better
Middle-age,No,Rarely,Short,Master,Rappresentative,Very_high,Divorced,Higher,No,Excellent,Proficient,Good
Senior,No,Rarely,Short,College,Director,Very_high,Married,Higher,Yes,Excellent,Competent,Bad
Senior,No,Rarely,Long,Master,Technician,Medium,Single,Lower,No,Excellent,Beginner,Better
Senior,No,Frequently,Short,Bachelor,Director,Medium,Married,Higher,No,Excellent,Expert,Better
Middle-age,Yes,Rarely,Medium,Bachelor,Rappresentative,High,Divorced,On_average,No,Excellent,Competent,Good
Young,Yes,Frequently,Short,Bachelor,Technician,Low,Married,Lower,Yes,Excellent,Beginner,Better
Middle-age,No,Rarely,Medium,Master,Technician,High,Married,Lower,Yes,Excellent,Novice,Better
Young,No,Rarely,Medium,Below_college,Technician,Medium,Married,Lower,No,Outstanding,Novice,Better
Middle-age,No,Frequently,Short,Master,Technician,High,Married,Lower,No,Excellent,Competent,Better
Senior,No,Rarely,Short,Master,Manager,High,Married,Higher,Yes,Excellent,Expert,Good
Middle-age,No,Rarely,Short,Bachelor,Rappresentative,Medium,Single,On_average,No,Excellent,Competent,Good
Senior,No,Rarely,Long,Bachelor,Rappresentative,Low,Married,Higher,No,Excellent,Competent,Good
Young,No,Frequently,Short,Below_college,Technician,High,Divorced,Lower,No,Excellent,Beginner,Better
Senior,No,Rarely,Short,Master,Manager,Very_high,Divorced,Higher,No,Excellent,Expert,Better
Senior,No,Rarely,Short,Master,Director,High,Married,Higher,No,Excellent,Competent,Better
Senior,No,Frequently,Short,Bachelor,Technician,High,Married,Lower,No,Excellent,Proficient,Better
Middle-age,No,Rarely,Medium,Doctor,Director,Very_high,Single,Higher,No,Excellent,Proficient,Good
Senior,No,Non-Travel,Short,Below_college,Manager,Low,Single,Higher,No,Excellent,Expert,Best
Senior,No,Rarely,Long,Bachelor,Director,Very_high,Divorced,Higher,No,Excellent,Proficient,Better
Young,Yes,Frequently,Short,Bachelor,Technician,Very_high,Single,Lower,Yes,Excellent,Novice,Better
Young,Yes,Rarely,Medium,Bachelor,Technician,Low,Single,Lower,No,Excellent,Novice,Good
Senior,No,Rarely,Short,Master,Rappresentative,Low,Divorced,On_average,Yes,Outstanding,Proficient,Better
Senior,Yes,Rarely,Short,Master,Technician,High,Married,Lower,Yes,Excellent,Proficient,Best
Young,Yes,Non-Travel,Long,College,Director,Low,Single,Higher,No,Excellent,Competent,Good
Young,No,Rarely,Short,College,Technician,Low,Married,On_average,No,Excellent,Beginner,Better
Middle-age,No,Rarely,Long,Bachelor,Rappresentative,Low,Married,Higher,No,Excellent,Competent,Good
Senior,No,Rarely,Short,College,Technician,High,Married,Lower,No,Excellent,Competent,Better
Middle-age,No,Rarely,Medium,Below_college,Director,High,Married,Higher,No,Excellent,Expert,Good
Senior,No,Rarely,Long,Master,Director,Very_high,Married,Higher,No,Outstanding,Competent,Better
Young,No,Non-Travel,Short,Doctor,Technician,High,Married,On_average,No,Excellent,Beginner,Better
Senior,No,Frequently,Short,Below_college,Director,Medium,Married,Higher,No,Excellent,Expert,Better
Young,No,Rarely,Medium,Bachelor,Rappresentative,High,Single,On_average,No,Excellent,Competent,Best
Senior,Yes,Rarely,Short,College,Director,Low,Married,Higher,No,Excellent,Expert,Better
Middle-age,No,Rarely,Short,Bachelor,Director,Very_high,Divorced,Higher,No,Excellent,Competent,Better
Middle-age,Yes,Rarely,Short,Bachelor,Director,Low,Single,Higher,Yes,Outstanding,Competent,Better
Middle-age,Yes,Frequently,Long,Master,Rappresentative,High,Single,On_average,No,Outstanding,Competent,Better
Young,No,Rarely,Medium,College,Technician,High,Divorced,Lower,No,Excellent,Beginner,Good
Middle-age,No,Frequently,Short,Below_college,Rappresentative,Very_high,Single,Higher,No,Excellent,Competent,Good
Middle-age,No,Rarely,Medium,Master,Rappresentative,Very_high,Divorced,Higher,Yes,Excellent,Competent,Better
Young,Yes,Rarely,Short,Below_college,Technician,Very_high,Married,On_average,Yes,Excellent,Competent,Best
Young,Yes,Rarely,Long,Bachelor,Technician,High,Divorced,Lower,No,Outstanding,Novice,Good
Middle-age,Yes,Rarely,Long,Bachelor,Technician,Medium,Single,Lower,Yes,Outstanding,Beginner,Better
Senior,No,Rarely,Short,College,Manager,Low,Married,Higher,No,Excellent,Expert,Better
Young,Yes,Frequently,Short,Bachelor,Technician,Medium,Divorced,Lower,No,Excellent,Novice,Better
Senior,Yes,Frequently,Short,Master,Rappresentative,High,Single,On_average,Yes,Excellent,Beginner,Better
Middle-age,No,Frequently,Short,Bachelor,Rappresentative,Medium,Married,On_average,No,Excellent,Beginner,Better
Middle-age,No,Non-Travel,Short,Master,Technician,Very_high,Married,Lower,No,Excellent,Beginner,Better
Senior,No,Non-Travel,Short,Master,Manager,Very_high,Single,Higher,No,Outstanding,Expert,Good
Senior,No,Non-Travel,Short,Master,Rappresentative,High,Married,On_average,No,Excellent,Proficient,Better
Senior,No,Rarely,Short,Master,Director,Medium,Single,Higher,No,Excellent,Proficient,Better
Middle-age,No,Rarely,Medium,Master,Director,High,Divorced,Higher,Yes,Excellent,Competent,Better
Young,No,Rarely,Long,Master,Technician,Very_high,Divorced,Lower,No,Outstanding,Competent,Better
Young,No,Rarely,Short,Bachelor,Director,Medium,Divorced,Higher,No,Excellent,Competent,Good
Senior,No,Rarely,Short,Below_college,Manager,High,Married,Higher,No,Excellent,Expert,Better
Middle-age,No,Rarely,Short,College,Director,Medium,Single,Higher,No,Excellent,Competent,Better
Senior,No,Frequently,Long,Bachelor,Director,Low,Married,Higher,No,Excellent,Proficient,Better
Middle-age,Yes,Frequently,Short,Bachelor,Manager,Very_high,Divorced,Higher,No,Excellent,Expert,Better
Senior,No,Rarely,Medium,Bachelor,Manager,High,Single,Higher,No,Excellent,Expert,Best
Young,No,Rarely,Short,Below_college,Technician,Medium,Single,Lower,Yes,Excellent,Novice,Best
Middle-age,No,Non-Travel,Short,Bachelor,Rappresentative,Medium,Single,Higher,No,Excellent,Competent,Good
Middle-age,No,Non-Travel,Medium,Master,Rappresentative,Very_high,Single,Higher,No,Outstanding,Proficient,Better
Middle-age,No,Frequently,Long,Bachelor,Technician,Very_high,Married,Lower,No,Excellent,Beginner,Better
Young,No,Rarely,Short,Below_college,Technician,Medium,Married,Lower,No,Excellent,Beginner,Bad
Middle-age,No,Frequently,Medium,College,Rappresentative,Very_high,Divorced,On_average,No,Excellent,Beginner,Better
